location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
P.S. 01k Annex,K0LP,P.S. 1 - BROOKLYN,K001,309 47 STREET BROOKLYN 11220,Yes,No,No,,,,
P.S. 001 The Bergen,K001,P.S. 1 - BROOKLYN,K001,309 47 STREET BROOKLYN 11220,Yes,No,No,,,,
Adult and Continuing Education,K755,P.S. 1 - BROOKLYN,K001,309 47 STREET BROOKLYN 11220,Yes,No,No,,,,
Adult and Continuing Education,K755,I.S. 2 - BROOKLYN,K002,655 PARKSIDE AVENUE BROOKLYN 11226,Yes,No,No,,,,
P.S. K141,K141,I.S. 2 - BROOKLYN,K002,655 PARKSIDE AVENUE BROOKLYN 11226,Yes,No,No,,,,
Parkside Preparatory Academy,K002,I.S. 2 - BROOKLYN,K002,655 PARKSIDE AVENUE BROOKLYN 11226,Yes,No,No,,,,
Explore Charter School,K704,I.S. 2 - BROOKLYN,K002,655 PARKSIDE AVENUE BROOKLYN 11226,Yes,No,No,,,,
Region 7 Adult Learning Center,E007,I.S. 2 - BROOKLYN,K002,655 PARKSIDE AVENUE BROOKLYN 11226,Yes,No,No,,,,
P.S. 003 The Bedford Village,K003,P.S. 3 - BROOKLYN,K003,50 JEFFERSON AVENUE BROOKLYN 11216,Yes,No,Yes,,,,
P.S. 005 Dr. Ronald Mcnair,K005,P.S. 5 - BROOKLYN,K005,820 HANCOCK STREET BROOKLYN 11233,Yes,Yes,Yes,2005,1,51,
P.S. K369 - Coy L. Cox School,K369,P.S. 5 - BROOKLYN,K005,820 HANCOCK STREET BROOKLYN 11233,Yes,Yes,Yes,2005,1,51,
Hearing Educational Services,M02R,P.S. 6 - BROOKLYN,K006,43 SNYDER AVENUE BROOKLYN 11226,Yes,No,No,,,,
Archway Center,K0LI,P.S. 6 - BROOKLYN,K006,43 SNYDER AVENUE BROOKLYN 11226,Yes,No,No,,,,
P.S. 006,K006,P.S. 6 - BROOKLYN,K006,43 SNYDER AVENUE BROOKLYN 11226,Yes,No,No,,,,
Adult and Continuing Education,K755,P.S. 6 - BROOKLYN,K006,43 SNYDER AVENUE BROOKLYN 11226,Yes,No,No,,,,
Region 7 Adult Learning Center,E007,P.S. 6 - BROOKLYN,K006,43 SNYDER AVENUE BROOKLYN 11226,Yes,No,No,,,,
Adult and Continuing Education,K755,P.S. 7 - BROOKLYN,K007,858 JAMAICA AVENUE BROOKLYN 11208,Yes,"Yes, in 2002",Yes,2004,0,30,
P.S. 007 Abraham Lincoln,K007,P.S. 7 - BROOKLYN,K007,858 JAMAICA AVENUE BROOKLYN 11208,Yes,"Yes, in 2002",Yes,2004,0,30,
P.S. K004,K004,P.S. 7 - BROOKLYN,K007,858 JAMAICA AVENUE BROOKLYN 11208,Yes,"Yes, in 2002",Yes,2004,0,30,
P.S. 008 Robert Fulton,K008,P.S. 8 - BROOKLYN,K008,37 HICKS STREET BROOKLYN 11201,Yes,No,No,,,,
P.S. 009 Teunis G. Bergen,K009,P.S. 9 - BROOKLYN,K009,80 UNDERHILL AVENUE BROOKLYN 11238,Yes,No,No,,,,
Brooklyn East Collegiate Charter School,K780,P.S. 9 - BROOKLYN,K009,80 UNDERHILL AVENUE BROOKLYN 11238,Yes,No,No,,,,
"Magnet School of Math, Science and Design Technology",K010,P.S. 10 - BROOKLYN,K010,511 7 AVENUE BROOKLYN 11215,Yes,Yes,Yes,2004,3,16,
Educational Vision Services,M00D,P.S. 10 - BROOKLYN,K010,511 7 AVENUE BROOKLYN 11215,Yes,Yes,Yes,2004,3,16,
P.S. 011 Purvis J. Behan,K011,P.S. 11 - BROOKLYN,K011,419 WAVERLY AVENUE BROOKLYN 11238,Yes,No,No,,,,
Dr. Jacqueline Peek-Davis School,K012,P.S. 12 - BROOKLYN,K012,430 HOWARD AVENUE BROOKLYN 11233,Yes,"Yes, in 2002",Yes,2004,0,32,
Adult and Continuing Education,K755,P.S. 12 - BROOKLYN,K012,430 HOWARD AVENUE BROOKLYN 11233,Yes,"Yes, in 2002",Yes,2004,0,32,
Ronald Edmonds Learning Center II,K484,P.S. 12 - BROOKLYN,K012,430 HOWARD AVENUE BROOKLYN 11233,Yes,"Yes, in 2002",Yes,2004,0,32,
Adult and Continuing Education,K755,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
Achievement First East New York Charter School,K358,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
Itinerant - District 19,I019,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
District 19 Superintendent Office,K819,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
Help 1,K798,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
Galaxy Spending Plan Differenc,K0MB,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
P.S. 013 Roberto Clemente,K013,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
Regin 6 Adult Learning Center,E006,P.S. 13 - BROOKLYN,K013,557 PENNSYLVANIA AVENUE BROOKLYN 11207,Yes,No,No,,,,
J.H.S. 014 Shell Bank,K014,I.S. 14 - BROOKLYN,K014,2424 BATCHELDER STREET BROOKLYN 11235,Yes,No,No,,,,
P.S. K811 Connie Lekas School,K811,I.S. 14 - BROOKLYN,K014,2424 BATCHELDER STREET BROOKLYN 11235,Yes,No,No,,,,
School Food Dist 22 Field Off.,KN22,I.S. 14 - BROOKLYN,K014,2424 BATCHELDER STREET BROOKLYN 11235,Yes,No,No,,,,
P.S. K077,K077,I.S. 14 - BROOKLYN,K014,2424 BATCHELDER STREET BROOKLYN 11235,Yes,No,No,,,,
P.S. 015 Patrick F. Daly,K015,P.S. 15 - BROOKLYN,K015,71 SULLIVAN STREET BROOKLYN 11231,Yes,Yes,Yes,2004,1,44,
Regin 6 Adult Learning Center,E006,P.S. 15 - BROOKLYN,K015,71 SULLIVAN STREET BROOKLYN 11231,Yes,Yes,Yes,2004,1,44,
P.S. 016 Leonard Dunkly,K016,P.S. 16 - BROOKLYN,K016,157 WILSON STREET BROOKLYN 11211,Yes,Yes,Yes,2005,1,47,
Williamsburg Collegiate Charter School,K355,P.S. 16 - BROOKLYN,K016,157 WILSON STREET BROOKLYN 11211,Yes,Yes,Yes,2005,1,47,
Conselyea Preparatory School,K577,P.S. 17 - BROOKLYN,K017,208 NORTH  5 STREET BROOKLYN 11211,Yes,No,Yes,,,,
P.S. 017 Henry D. Woodworth,K017,P.S. 17 - BROOKLYN,K017,208 NORTH  5 STREET BROOKLYN 11211,Yes,No,Yes,,,,
P.S. 018 Edward Bush,K018,P.S. 18 - BROOKLYN,K018,101 MAUJER STREET BROOKLYN 11206,Yes,No,No,,,,
Adult and Continuing Education,K755,P.S. 19 - BROOKLYN,K019,325 SOUTH  3 STREET BROOKLYN 11211,Yes,No,No,,,,
Brooklyn Arbor Elementary School,K414,P.S. 19 - BROOKLYN,K019,325 SOUTH  3 STREET BROOKLYN 11211,Yes,No,No,,,,
Academy of Arts and Letters,K492,P.S. 20 - BROOKLYN,K020,225 ADELPHI STREET BROOKLYN 11205,Yes,No,No,,,,
P.S. 020 Clinton Hill,K020,P.S. 20 - BROOKLYN,K020,225 ADELPHI STREET BROOKLYN 11205,Yes,No,No,,,,
P.S. 021 Crispus Attucks,K021,P.S. 21 - BROOKLYN,K021,180 CHAUNCEY STREET BROOKLYN 11233,Yes,No,No,,,,
P.S. K140,K140,P.S. 21 - BROOKLYN,K021,180 CHAUNCEY STREET BROOKLYN 11233,Yes,No,No,,,,
Brooklyn Arts and Science Elementary School,K705,P.S. 22 - BROOKLYN,K022,443 ST MARKS AVENUE BROOKLYN 11238,Yes,No,Yes,,,,
Explore Exceed Charter School,K333,P.S. 22 - BROOKLYN,K022,443 ST MARKS AVENUE BROOKLYN 11238,Yes,No,Yes,,,,
P.S. 023 Carter G. Woodson,K023,P.S. 23 - BROOKLYN,K023,545 WILLOUGHBY AVENUE BROOKLYN 11206,Yes,No,No,,,,
Brooklyn Charter School,K701,P.S. 23 - BROOKLYN,K023,545 WILLOUGHBY AVENUE BROOKLYN 11206,Yes,No,No,,,,
P.S. 024,K024,P.S. 24 - BROOKLYN,K024,427 38 STREET BROOKLYN 11232,Yes,No,No,,,,
Adult and Continuing Education,K755,P.S. 24 - BROOKLYN,K024,427 38 STREET BROOKLYN 11232,Yes,No,No,,,,
Upper School @ P.S. 25,K534,P.S. 25 - BROOKLYN ,K025,787 LAFAYETTE AVENUE BROOKLYN 11221,Yes,"Yes, in 2003",Yes,2005,0,9,
P.S. 025 Eubie Blake School,K025,P.S. 25 - BROOKLYN ,K025,787 LAFAYETTE AVENUE BROOKLYN 11221,Yes,"Yes, in 2003",Yes,2005,0,9,
Frederick Douglass Academy IV Secondary School,K393,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
District 16 Superintendent Office,K816,P.S. 26 - BROOKLYN,K026,1010 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
P.S. 026 Jesse Owens,K026,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Special Education,K0MS,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Parental Involvement,K0MR,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Office Of The Superintendent,K0MQ,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Curriculum And Instruction,K0MO,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Office Of Pupil Personnel Serv,K0MP,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Galaxy Spending Plan Differenc,K0M8,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Madiba Prep Middle School,K681,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Itinerant - District 16,I016,P.S. 26 - BROOKLYN,K026,1014 LAFAYETTE AVENUE BROOKLYN 11221,Yes,No,No,,,,
Red Hook Neighborhood School,K676,P.S. 27 - BROOKLYN,K027,27 HUNTINGTON STREET BROOKLYN 11231,Yes,Yes,Yes,2004,1,19,
Summit Academy Charter School,K730,P.S. 27 - BROOKLYN,K027,27 HUNTINGTON STREET BROOKLYN 11231,Yes,Yes,Yes,2004,1,19,
P.S. 028 The Warren Prep Academy,K028,P.S. 28 - BROOKLYN ,K028,1001 HERKIMER STREET BROOKLYN 11233,Yes,"Yes, in 2003",Yes,2005,0,17,
P.S. 029 John M. Harrigan,K029,P.S. 29 - BROOKLYN,K029,425 HENRY STREET BROOKLYN 11201,Yes,No,No,,,,
P.S. 031 Samuel F. Dupont,K031,P.S. 31 (OLD 126) - K,K031,75 MESEROLE AVENUE BROOKLYN 11222,Yes,No,No,,,,
K31 Bldg - Osfns & Dsf,K708,P.S. 31 (OLD 126) - K,K031,75 MESEROLE AVENUE BROOKLYN 11222,Yes,No,No,,,,
M.S. 442 Carroll Gardens School for Innovation,K442,P.S. 32 - BROOKLYN,K032,317 HOYT STREET BROOKLYN 11231,Yes,No,No,,,,
P.S. 032 Samuel Mills Sprole,K032,P.S. 32 - BROOKLYN,K032,317 HOYT STREET BROOKLYN 11231,Yes,No,No,,,,
P.S. 368,K368,I.S. 33 - BROOKLYN,K033,70 TOMPKINS AVENUE BROOKLYN 11206,Yes,No,No,,,,
Foundations Academy,K322,I.S. 33 - BROOKLYN,K033,70 TOMPKINS AVENUE BROOKLYN 11206,Yes,No,No,,,,
The School for the Urban Environment,K330,I.S. 33 - BROOKLYN,K033,70 TOMPKINS AVENUE BROOKLYN 11206,Yes,No,No,,,,
Success Academy Charter School - Bed-Stuy 1,K367,I.S. 33 - BROOKLYN,K033,70 TOMPKINS AVENUE BROOKLYN 11206,Yes,No,No,,,,
Adult and Continuing Education,K755,P.S. 34 - BROOKLYN,K034,131 NORMAN AVENUE BROOKLYN 11222,Yes,No,Yes,,,,
P.S. 034 Oliver H. Perry,K034,P.S. 34 - BROOKLYN,K034,131 NORMAN AVENUE BROOKLYN 11222,Yes,No,Yes,,,,
P.S. K141,K141,I.S. 35 - BROOKLYN,K035,272 MACDONOUGH STREET BROOKLYN 11233,Yes,Yes,Yes,2003,2,33,
M.S. 035 Stephen Decatur,K035,I.S. 35 - BROOKLYN,K035,272 MACDONOUGH STREET BROOKLYN 11233,Yes,Yes,Yes,2003,2,33,
Brooklyn Brownstone School,K628,I.S. 35 - BROOKLYN,K035,272 MACDONOUGH STREET BROOKLYN 11233,Yes,Yes,Yes,2003,2,33,
P.S. 038 The Pacific,K038,P.S. 38 - BROOKLYN,K038,450 PACIFIC STREET BROOKLYN 11217,Yes,No,No,,,,
P.S. 039 Henry Bristow,K039,P.S. 39 - BROOKLYN,K039,417 6 AVENUE BROOKLYN 11215,Yes,No,Yes,,,,
P.S. 040 George W. Carver,K040,P.S. 40 - BROOKLYN,K040,265 RALPH AVENUE BROOKLYN 11233,Yes,No,No,,,,
Gotham Professional Arts Academy,K594,P.S. 40 - BROOKLYN,K040,265 RALPH AVENUE BROOKLYN 11233,Yes,No,No,,,,
P.S. 041 Francis White,K041,P.S. 41 - BROOKLYN,K041,411 THATFORD AVENUE BROOKLYN 11212,Yes,No,Yes,,,,
Universal Pre-K C.B.O.,K72C,P.S. 41 - BROOKLYN,K041,225 Newport Street BROOKLYN 11212,Yes,No,Yes,,,,
Firststep NYC @ PS/IS 041,KCFA,P.S. 41 - BROOKLYN,K041,225 Newport Street BROOKLYN 11212,Yes,No,Yes,,,,
The Joan Snow Pre-K Center,K853,PRE-K CENTER @3610 GLENWOOD ROAD - BROOKLYN,K042,3610 GLENWOOD ROAD BROOKLYN 11210,Yes,Yes,Yes,2016,1,34,
Educational Vision Services,M00D,I.S. 98 - BROOKLYN,K043,1401 EMMONS AVENUE BROOKLYN 11235,Yes,No,Yes,,,,
Hearing Educational Services,M02R,I.S. 98 - BROOKLYN,K043,1401 EMMONS AVENUE BROOKLYN 11235,Yes,No,Yes,,,,
District 21 Superintendent Office,K03G,I.S. 98 - BROOKLYN,K043,1401 EMMONS AVENUE BROOKLYN 11235,Yes,No,Yes,,,,
I.S. 98 Bay Academy,K098,I.S. 98 - BROOKLYN,K043,1401 EMMONS AVENUE BROOKLYN 11235,Yes,No,Yes,,,,
P.S. K771,K771,I.S. 98 - BROOKLYN,K043,1401 EMMONS AVENUE BROOKLYN 11235,Yes,No,Yes,,,,
P.S. 044 Marcus Garvey,K044,P.S. 44 - BROOKLYN,K044,432 MONROE STREET BROOKLYN 11221,Yes,No,No,,,,
Unity Prep Charter School,K757,P.S. 44 - BROOKLYN,K044,432 MONROE STREET BROOKLYN 11221,Yes,No,No,,,,
P.S./I.S. 045 Horace E. Greene,K045,P.S. 45 - BROOKLYN,K045,84 SCHAEFER STREET BROOKLYN 11207,Yes,No,No,,,,
P.S. 046 Edward C. Blum,K046,P.S. 46 - BROOKLYN,K046,100 CLERMONT AVENUE BROOKLYN 11205,Yes,No,No,,,,
Fort Greene Preparatory Academy,K691,P.S. 46 - BROOKLYN,K046,100 CLERMONT AVENUE BROOKLYN 11205,Yes,No,No,,,,
P.S. 048 Mapleton,K048,P.S. 48 - BROOKLYN,K048,6015 18 AVENUE BROOKLYN 11204,Yes,No,Yes,,,,
School Food Dist 14 Field Off.,KN14,I.S. 49 - BROOKLYN,K049,223 GRAHAM AVENUE BROOKLYN 11206,Yes,No,No,,,,
Elem School Lunch Area Office,K998,I.S. 49 - BROOKLYN,K049,223 GRAHAM AVENUE BROOKLYN 11206,Yes,No,No,,,,
Lyons Community School,K586,I.S. 49 - BROOKLYN,K049,223 GRAHAM AVENUE BROOKLYN 11206,Yes,No,No,,,,
"Brooklyn Latin School, The",K449,I.S. 49 - BROOKLYN,K049,223 GRAHAM AVENUE BROOKLYN 11206,Yes,No,No,,,,
Green School: An Academy for Environmental Careers,K454,I.S. 49 - BROOKLYN,K049,223 GRAHAM AVENUE BROOKLYN 11206,Yes,No,No,,,,
Adult and Continuing Education,K755,J.H.S. 50 - BROOKLYN,K050,183 SOUTH  3 STREET BROOKLYN 11211,Yes,No,No,,,,
Success Academy Charter School - Williamsburg,K182,J.H.S. 50 - BROOKLYN,K050,183 SOUTH  3 STREET BROOKLYN 11211,Yes,No,No,,,,
J.H.S. 050 John D. Wells,K050,J.H.S. 50 - BROOKLYN,K050,183 SOUTH  3 STREET BROOKLYN 11211,Yes,No,No,,,,
M.S. 51 William Alexander,K051,I.S. 51 - BROOKLYN,K051,350 5 AVENUE BROOKLYN 11215,Yes,No,Yes,,,,
P.S. 052 Sheepshead Bay,K052,P.S. 52 - BROOKLYN,K052,2675 EAST  29 STREET BROOKLYN 11235,Yes,"Yes, in 2003",Yes,2005,0,13,
Adult and Continuing Education,K755,P.S. 52 - BROOKLYN,K052,2675 EAST  29 STREET BROOKLYN 11235,Yes,"Yes, in 2003",Yes,2005,0,13,
P.S. 054 Samuel C. Barnes,K054,P.S. 54 - BROOKLYN,K054,195 SANDFORD STREET BROOKLYN 11205,Yes,No,No,,,,
P.S. K231,K231,P.S. 54 - BROOKLYN,K054,195 SANDFORD STREET BROOKLYN 11205,Yes,No,No,,,,
Galaxy Spending Plan Differenc,K0MF,I.S. 55 - BROOKLYN,K055,2021 BERGEN STREET BROOKLYN 11233,Yes,"Yes, in 2003",Yes,2005,0,38,
Achievement First Brownsville Charter School,K626,I.S. 55 - BROOKLYN,K055,2021 BERGEN STREET BROOKLYN 11233,Yes,"Yes, in 2003",Yes,2005,0,38,
Itinerant - District 23,I023,I.S. 55 - BROOKLYN,K055,2021 BERGEN STREET BROOKLYN 11233,Yes,"Yes, in 2003",Yes,2005,0,38,
Brooklyn Collegiate: A College Board School,K493,I.S. 55 - BROOKLYN,K055,2021 BERGEN STREET BROOKLYN 11233,Yes,"Yes, in 2003",Yes,2005,0,38,
The Urban Assembly Unison School,K351,P.S. 56 - BROOKLYN,K056,170 GATES AVENUE BROOKLYN 11238,Yes,No,No,,,,
P.S. K369 - Coy L. Cox School,K369,P.S. 56 - BROOKLYN,K056,170 GATES AVENUE BROOKLYN 11238,Yes,No,No,,,,
P.S. 056 Lewis H. Latimer,K056,P.S. 56 - BROOKLYN,K056,170 GATES AVENUE BROOKLYN 11238,Yes,No,No,,,,
J.H.S. 057 Whitelaw Reid,K057,J.H.S. 57 - BROOKLYN,K057,125 STUYVESANT AVENUE BROOKLYN 11221,Yes,No,No,,,,
"School of Business, Finance and Entrepreneurship",K385,J.H.S. 57 - BROOKLYN,K057,125 STUYVESANT AVENUE BROOKLYN 11221,Yes,No,No,,,,
The Brooklyn Academy of Global Finance,K688,J.H.S. 57 - BROOKLYN,K057,125 STUYVESANT AVENUE BROOKLYN 11221,Yes,No,No,,,,
P.S. 058 The Carroll,K058,P.S. 58 - BROOKLYN,K058,330 SMITH STREET BROOKLYN 11231,Yes,No,No,,,,
P.S. 059 William Floyd,K059,P.S. 59 - BROOKLYN,K059,211 THROOP AVENUE BROOKLYN 11206,Yes,No,Yes,,,,
Success Academy Charter School - Bed-Stuy 2,K125,P.S. 59 - BROOKLYN,K059,211 THROOP AVENUE BROOKLYN 11206,Yes,No,Yes,,,,
Adult and Continuing Education,K755,I.S. 61 - BROOKLYN,K061,400 EMPIRE BOULEVARD BROOKLYN 11225,Yes,No,No,,,,
M.S. 061 Dr. Gladstone H. Atwell,K061,I.S. 61 - BROOKLYN,K061,400 EMPIRE BOULEVARD BROOKLYN 11225,Yes,No,No,,,,
Region 7 Adult Learning Center,E007,I.S. 61 - BROOKLYN,K061,400 EMPIRE BOULEVARD BROOKLYN 11225,Yes,No,No,,,,
Regin 6 Adult Learning Center,E006,I.S. 62 - BROOKLYN,K062,700 CORTELYOU ROAD BROOKLYN 11218,Yes,No,Yes,,,,
J.H.S. 062 Ditmas,K062,I.S. 62 - BROOKLYN,K062,700 CORTELYOU ROAD BROOKLYN 11218,Yes,No,Yes,,,,
The Joan Snow Pre-K Center,K853,PRE-K CENTER @1340 EAST 29TH STREET - BROOKLYN,K063,1340 EAST 29TH STREET BROOKLYN 11210,Yes,Yes,Yes,2016,2,14,
Achievement First East New York Charter School,K358,P.S. 65 - BROOKLYN,K065,158 RICHMOND STREET BROOKLYN 11208,Yes,No,No,,,,
P.S. 66,K066,P.S. 66 - BROOKLYN,K066,845 EAST  96 STREET BROOKLYN 11236,No,N/A,Yes,,,,Building constructed after 1986
P.S. K771,K771,P.S. 66 - BROOKLYN,K066,845 EAST  96 STREET BROOKLYN 11236,No,N/A,Yes,,,,Building constructed after 1986
P.S. 067 Charles A. Dorsey,K067,P.S. 67 - BROOKLYN,K067,51 SAINT EDWARDS STREET BROOKLYN 11205,Yes,No,No,,,,
P.S. K369 - Coy L. Cox School,K369,P.S. 67 - BROOKLYN,K067,51 SAINT EDWARDS STREET BROOKLYN 11205,Yes,No,No,,,,
Community Roots Charter School,K536,P.S. 67 - BROOKLYN,K067,51 SAINT EDWARDS STREET BROOKLYN 11205,Yes,No,No,,,,
Adult and Continuing Education,K755,I.S. 68 - BROOKLYN,K068,956 EAST  82 STREET BROOKLYN 11236,Yes,"Yes, in 2004",Yes,2004,0,39,
I.S. 068 Isaac Bildersee,K068,I.S. 68 - BROOKLYN,K068,956 EAST  82 STREET BROOKLYN 11236,Yes,"Yes, in 2004",Yes,2004,0,39,
Regin 6 Adult Learning Center,E006,I.S. 68 - BROOKLYN,K068,956 EAST  82 STREET BROOKLYN 11236,Yes,"Yes, in 2004",Yes,2004,0,39,
Explore Excel Charter School,K379,I.S. 68 - BROOKLYN,K068,956 EAST  82 STREET BROOKLYN 11236,Yes,"Yes, in 2004",Yes,2004,0,39,
Regin 6 Adult Learning Center,E006,P.S. 69 - BROOKLYN,K069,6302 9TH AVENUE BROOKLYN 11220,Yes,Yes,Yes,2004,1,44,
P.S. 69 Vincent D. Grippo School,K069,P.S. 69 - BROOKLYN,K069,6302 9TH AVENUE BROOKLYN 11220,Yes,Yes,Yes,2004,1,44,
Adult and Continuing Education,K755,P.S. 69 - BROOKLYN,K069,6302 9TH AVENUE BROOKLYN 11220,Yes,Yes,Yes,2004,1,44,
Beginning with Children Charter School II,K037,I.S. 71 - BROOKLYN,K071,215 HEYWARD STREET BROOKLYN 11206,Yes,No,No,,,,
Itinerant - District 14,I014,I.S. 71 - BROOKLYN,K071,215 HEYWARD STREET BROOKLYN 11206,Yes,No,No,,,,
Juan Morel Campos Secondary School,K071,I.S. 71 - BROOKLYN,K071,215 HEYWARD STREET BROOKLYN 11206,Yes,No,No,,,,
P.S. K141,K141,I.S. 71 - BROOKLYN,K071,215 HEYWARD STREET BROOKLYN 11206,Yes,No,No,,,,
District 14 Superintendent Office,K814,I.S. 71 - BROOKLYN,K071,215 HEYWARD STREET BROOKLYN 11206,Yes,No,No,,,,
Galaxy Spending Plan Differenc,K0M6,I.S. 71 - BROOKLYN,K071,215 HEYWARD STREET BROOKLYN 11206,Yes,No,No,,,,
P.S. K004,K004,P.S. 72 - BROOKLYN,K072,605 SHEPHERD AVENUE BROOKLYN 11208,Yes,"Yes, in 2003",Yes,2005,0,33,
East New York Elementary School of Excellence,K677,P.S. 72 - BROOKLYN,K072,605 SHEPHERD AVENUE BROOKLYN 11208,Yes,"Yes, in 2003",Yes,2005,0,33,
East New York Middle School of Excellence,K678,P.S. 72 - BROOKLYN,K072,605 SHEPHERD AVENUE BROOKLYN 11208,Yes,"Yes, in 2003",Yes,2005,0,33,
Brooklyn Landmark Elementary School,K599,P.S. 73 - BROOKLYN,K073,251 MCDOUGAL STREET BROOKLYN 11233,Yes,No,Yes,,,,
Brooklyn Environmental Exploration School (BEES),K664,P.S. 73 - BROOKLYN,K073,251 MCDOUGAL STREET BROOKLYN 11233,Yes,No,Yes,,,,
P.S. 073 Thomas S. Boyland,K073,P.S. 73 - BROOKLYN,K073,251 MCDOUGAL STREET BROOKLYN 11233,Yes,No,Yes,,,,
P.S. 075 Mayda Cortiella,K075,P.S. 75 - BROOKLYN,K075,95 GROVE STREET BROOKLYN 11221,Yes,"Yes, in 2003",Yes,2004,0,17,
J.H.S. 078 Roy H. Mann,K078,I.S. 78 - BROOKLYN,K078,1420 EAST  68 STREET BROOKLYN 11234,Yes,Yes,Yes,2016,3,26,
Success Academy Charter School - Bergen Beach - New York 4,K781,I.S. 78 - BROOKLYN,K078,1420 EAST  68 STREET BROOKLYN 11234,Yes,Yes,Yes,2016,3,26,
P.S. K004,K004,P.S. 81 - BROOKLYN,K081,990 DEKALB AVENUE BROOKLYN 11221,Yes,No,No,,,,
P.S. 081 Thaddeus Stevens,K081,P.S. 81 - BROOKLYN,K081,990 DEKALB AVENUE BROOKLYN 11221,Yes,No,No,,,,
District 16 Special Education,K0L7,P.S. 81 - BROOKLYN,K081,990 DEKALB AVENUE BROOKLYN 11221,Yes,No,No,,,,
Cse Dist. 16 Para-Pros,K07R,P.S. 81 - BROOKLYN,K081,990 DEKALB AVENUE BROOKLYN 11221,Yes,No,No,,,,
Sbst - District 16,K09H,P.S. 81 - BROOKLYN,K081,990 DEKALB AVENUE BROOKLYN 11221,Yes,No,No,,,,
P.S. 084 Jose De Diego,K084,P.S. 84 - BROOKLYN,K084,250 BERRY STREET BROOKLYN 11211,Yes,No,Yes,,,,
Adult and Continuing Education,K755,P.S. 84 - BROOKLYN,K084,250 BERRY STREET BROOKLYN 11211,Yes,No,Yes,,,,
P.S. K753 - School for Career Development,K753,P.S. 753 (OLD P85/STERLING HS) - K,K085,510 CLERMONT AVENUE BROOKLYN 11238,Yes,No,No,,,,
P.S. 086 The Irvington,K086,P.S. 86 - BROOKLYN,K086,220 IRVING AVENUE BROOKLYN 11237,Yes,"Yes, in 2002",Yes,2004,0,4,
Adult and Continuing Education,K755,P.S. 86 - BROOKLYN,K086,220 IRVING AVENUE BROOKLYN 11237,Yes,"Yes, in 2002",Yes,2004,0,4,
Region 7 Adult Learning Center,E007,P.S. 86 - BROOKLYN,K086,220 IRVING AVENUE BROOKLYN 11237,Yes,"Yes, in 2002",Yes,2004,0,4,
J.H.S. 088 Peter Rouget,K088,I.S. 88 - BROOKLYN,K088,544 7TH AVENUE BROOKLYN 11215,Yes,"Yes, in 2002",Yes,2005,0,28,
P.S. K053,K053,I.S. 88 - BROOKLYN,K088,544 7TH AVENUE BROOKLYN 11215,Yes,"Yes, in 2002",Yes,2005,0,28,
Educational Vision Services,M00D,I.S. 88 - BROOKLYN,K088,544 7TH AVENUE BROOKLYN 11215,Yes,"Yes, in 2002",Yes,2005,0,28,
P.S. 90 Edna Cohen School,K090,P.S. 90 - BROOKLYN,K090,2840 WEST  12 STREET BROOKLYN 11224,Yes,No,Yes,,,,
Adult and Continuing Education,K755,P.S. 90 - BROOKLYN,K090,2840 WEST  12 STREET BROOKLYN 11224,Yes,No,Yes,,,,
P.S. 091 The Albany Avenue School,K091,P.S. 91 - BROOKLYN,K091,532 ALBANY AVENUE BROOKLYN 11203,Yes,"Yes, in 2003",Yes,2005,0,17,
